id,section,title,body,ifc_type,occupancy,design_phase,code_category,primary_responsibility
1,,Scope and Administration,,BuildingElementProxy,Residential (R),concept|sd|dd|cd|ca,occupancy_classification,architect
divider_1_1,Chapter 1 Scope and Administration,Scope and Application,,,,,none,none
R101,Chapter 1 Scope and Administration,Scope and General Requirements,,,,,none,none
R101.1,Chapter 1 Scope and Administration,Title,"These provisions shall be known as the Florida Building Code, Residential, and shall be cited as such and will be referred to herein as ""this code.""",BuildingElementProxy,Residential (R),concept|sd|dd|cd,occupancy_classification,architect
R101.2,Chapter 1 Scope and Administration,Scope,"The provisions of the Florida Building Code, Residential shall apply to the construction, alteration, movement, enlargement, replacement, repair, equipment, use and occupancy, location, removal and demolition of detached one- and two-family dwellings and townhouses not more than three stories above grade plane in height with a separate means of egress and their accessory structures not more than three stories above grade plane in height. Exceptions: Live/work units located in townhouses and complying with the requirements of Section 508.5 of the Florida Building Code, Building shall be permitted to be constructed in accordance with the Florida Building Code, Residential. Fire suppression required by Section 508.5.7 of the Florida Building Code, Building where constructed under the Florida Building Code, Residential shall conform to Section P2904. Owner-occupied lodging houses with five or fewer guestrooms shall be permitted to be constructed in accordance with the Florida Building Code, Residential where equipped with a fire sprinkler system in accordance with Section P2904. Existing buildings undergoing repair, alteration, additions or change of occupancy shall comply with the Florida Building Code, Existing Building.",Wall|Roof|Slab|Door|Window,Residential (R)|Business (B)|Institutional (I)|Assembly (A),concept|sd|dd|cd,occupancy_classification,architect
R101.2.1,Chapter 1 Scope and Administration,R101.2.1,"The provisions of Chapter 1, Florida Building Code, Building, shall govern the administration and enforcement of the Florida Building Code, Residential.",,,,,
R101.3,Chapter 1 Scope and Administration,Intent,Reserved.,,,,,
R102,Chapter 1 Scope and Administration,Applicability,RESERVED,,,,none,none
divider_1_2,Chapter 1 Scope and Administration,Administration and Enforcement,,,,,none,none
R103,Chapter 1 Scope and Administration,Department of Building Safety,RESERVED,,,,,
R104,Chapter 1 Scope and Administration,Duties and Powers of the Building Official,RESERVED,,,,none,none
R105,Chapter 1 Scope and Administration,Permits,RESERVED,,,,none,none
R106,Chapter 1 Scope and Administration,Construction Documents,RESERVED,,,,none,none
R107,Chapter 1 Scope and Administration,Temporary Structures and Uses,RESERVED,,,,none,none
R108,Chapter 1 Scope and Administration,Fees,RESERVED,,,,none,none
R109,Chapter 1 Scope and Administration,Inspections,RESERVED,,,,none,none
R110,Chapter 1 Scope and Administration,Certificate of Occupancy,RESERVED,,,,none,none
R111,Chapter 1 Scope and Administration,Service Utilities,RESERVED,,,,none,none
R112,Chapter 1 Scope and Administration,Board of Appeals,RESERVED,,,,,
R113,Chapter 1 Scope and Administration,Violations,RESERVED,,,,none,none
R114,Chapter 1 Scope and Administration,Stop Work Order,RESERVED,,,,none,none
