id,section,reference,title,depth,body
,,18,Chapter 18 Chimneys and Vents,0,The text of this chapter is extracted from the 2018 edition of the North Carolina Mechanical Code and has been modified where necessary to conform to the scope of application of the North Carolina Residential Code for One- and Two-Family Dwellings. The section numbers appearing in parentheses after each section number are the section numbers of the corresponding text in the North Carolina Mechanical Code.
18,Chapter 18 Chimneys and Vents,M1801,Section M1801 General,1,
18,Chapter 18 Chimneys and Vents,M1801.1,"M1801.1 <span class=""code_addition"">(801.1) </span>Venting Required",2,"Fuel-burning appliances shall be vented to the outdoors in accordance with their listing and label and manufacturer's installation instructions except appliances listed and labeled for unvented use. Venting systems shall consist of approved chimneys or vents, or venting assemblies that are integral parts of labeled appliances. Gas-fired appliances shall be vented in accordance with Chapter 24."
18,Chapter 18 Chimneys and Vents,M1801.2,M1801.2 Draft Requirements,2,"A venting system shall satisfy the draft requirements of the appliance in accordance with the manufacturer's installation instructions, and shall be constructed and installed to develop a positive flow to convey combustion products to the outside atmosphere."
18,Chapter 18 Chimneys and Vents,M1801.3,M1801.3 Existing Chimneys and Vents,2,"Where an appliance is permanently disconnected from an existing chimney or vent, or where an appliance is connected to an existing chimney or vent during the process of a new installation, the chimney or vent shall comply with Sections M1801.3.1 through M1801.3.4."
18,Chapter 18 Chimneys and Vents,M1801.3.1,M1801.3.1 Size,3,"The chimney or vent shall be resized as necessary to control flue gas condensation in the interior of the chimney or vent and to provide the appliance, or appliances served, with the required draft. For the venting of oil-fired appliances to masonry chimneys, the resizing shall be done in accordance with NFPA 31."
18,Chapter 18 Chimneys and Vents,M1801.3.2,M1801.3.2 Flue Passageways,3,"The flue gas passageway shall be free of obstructions and combustible deposits and shall be cleaned if previously used for venting a solid or liquid fuel-burning appliance or fireplace. The flue liner, chimney inner wall or vent inner wall shall be continuous and free of cracks, gaps, perforations, or other damage or deterioration that would allow the escape of combustion products, including gases, moisture and creosote."
18,Chapter 18 Chimneys and Vents,M1801.3.3,"M1801.3.3 <span class=""code_addition"">(801.13) </span>Cleanout",3,Masonry chimneys shall be provided with a cleanout opening complying with Section R1003.17.
18,Chapter 18 Chimneys and Vents,M1801.3.4,"M1801.3.4 <span class=""code_addition"">(801.18.4) </span>Clearances",3,"Chimneys and vents shall have airspace clearance to combustibles in accordance with this code and the chimney or vent manufacturer's installation instructions.Exception: Masonry chimneys equipped with a chimney lining system tested and listed for installation in chimneys in contact with combustibles in accordance with UL 1777, and installed in accordance with the manufacturer's instructions, shall not be required to have a clearance between combustible materials and exterior surfaces of the masonry chimney. Noncombustible firestopping shall be provided in accordance with this code."
18,Chapter 18 Chimneys and Vents,M1801.4,"M1801.4 <span class=""code_addition"">(801.17) </span>Space Around Lining",2,The space surrounding a flue lining system or other vent installed within a masonry chimney shall not be used to vent any other appliance. This shall not prevent the installation of a separate flue lining in accordance with the manufacturer's installation instructions and this code.
18,Chapter 18 Chimneys and Vents,M1801.5,M1801.5 Mechanical Draft Systems,2,A mechanical draft system shall be used only with appliances listed and labeled for such use. Provisions shall be made to prevent the flow of fuel to the equipment when the draft system is not operating. Forced draft systems and portions of induced draft systems under positive pressure during operation shall be designed and installed to prevent leakage of flue gases into a building.
18,Chapter 18 Chimneys and Vents,M1801.6,M1801.6 Direct-Vent Appliances,2,Direct-vent appliances shall be installed in accordance with the manufacturer's instructions.
18,Chapter 18 Chimneys and Vents,M1801.7,M1801.7 Support,2,Venting systems shall be adequately supported for the weight of the material used.
18,Chapter 18 Chimneys and Vents,M1801.8,M1801.8 Duct Penetrations,2,"Chimneys, vents and vent connectors shall not extend into or through supply and return air ducts or plenums."
18,Chapter 18 Chimneys and Vents,M1801.9,M1801.9 Fireblocking,2,Vent and chimney installations shall be fireblocked in accordance with Section R602.8.
18,Chapter 18 Chimneys and Vents,M1801.10,M1801.10 Unused Openings,2,Unused openings in any venting system shall be closed or capped.
18,Chapter 18 Chimneys and Vents,M1801.11,M1801.11 Multiple-Appliance Venting Systems,2,Two or more listed and labeled appliances connected to a common natural draft venting system shall comply with the following requirements:Appliances that are connected to common venting systems shall be located on the same floor of the dwelling.Exception: Engineered systems as provided for in Section G2427.Inlets to common venting systems shall be offset such that no portion of an inlet is opposite another inlet.Connectors serving appliances operating under a natural draft shall not be connected to any portion of a mechanical draft system operating under positive pressure.
18,Chapter 18 Chimneys and Vents,M1801.12,M1801.12 Multiple Solid Fuel Prohibited,2,A solid fuel-burning appliance or fireplace shall not connect to a chimney passageway venting another appliance.
18,Chapter 18 Chimneys and Vents,M1802,Section M1802 Vent Components,1,
18,Chapter 18 Chimneys and Vents,M1802.1,M1802.1 Draft Hoods,2,Draft hoods shall be located in the same room or space as the combustion air openings for the appliances.
18,Chapter 18 Chimneys and Vents,M1802.2,M1802.2 Vent Dampers,2,Vent dampers shall comply with Sections M1802.2.1 and M1802.2.2.
18,Chapter 18 Chimneys and Vents,M1802.2.1,M1802.2.1 Manually Operated,3,Manually operated dampers shall not be installed except in connectors or chimneys serving solid fuel-burning appliances.
18,Chapter 18 Chimneys and Vents,M1802.2.2,M1802.2.2 Automatically Operated,3,Automatically operated dampers shall conform to UL 17 and be installed in accordance with the terms of their listing and label. The installation shall prevent firing of the burner when the damper is not opened to a safe position.
18,Chapter 18 Chimneys and Vents,M1802.3,M1802.3 Draft Regulators,2,Draft regulators shall be provided for oil-fired appliances that must be connected to a chimney. Draft regulators provided for solid fuel-burning appliances to reduce draft intensity shall be installed and set in accordance with the manufacturer's installation instructions.
18,Chapter 18 Chimneys and Vents,M1802.3.1,M1802.3.1 Location,3,"Where required, draft regulators shall be installed in the same room or enclosure as the appliance so that a difference in pressure will not exist between the air at the regulator and the combustion air supply."
18,Chapter 18 Chimneys and Vents,M1803,Section M1803 Chimney and Vent Connectors,1,
18,Chapter 18 Chimneys and Vents,M1803.1,M1803.1 General,2,Connectors shall be used to connect fuel-burning appliances to a vertical chimney or vent except where the chimney or vent is attached directly to the appliance.
18,Chapter 18 Chimneys and Vents,M1803.2,"M1803.2 <span class=""code_addition"">(803.9) </span>Connectors for Oil and Solid Fuel<span class=""code_deletion"">-Burning</span> Appliances",2,"Connectors for oil and solid fuel-burning appliances shall be constructed of factory-built chimney material, Type L vent material or single-wall metal pipe having resistance to corrosion and heat and thickness not less than that of galvanized steel as specified in Table M1803.2. TABLE M1803.2 [803.9(1)]THICKNESS FOR SINGLE-WALL METAL PIPE CONNECTORS DIAMETER OF CONNECTOR (inches) GALVANIZED SHEET METAL GAGE NUMBER MINIMUM THICKNESS (inch) Less than 6 26 0.019 6 to 10 24 0.024 Over 10 through 16 22 0.029 For SI: 1 inch = 25.4 mm."
18,Chapter 18 Chimneys and Vents,M1803.3,"M1803.3 <span class=""code_addition"">(803.10.5) </span>Installation",2,Vent and chimney connectors shall be installed in accordance with the manufacturer's instructions and within the space where the appliance is located. Appliances shall be located as close as practical to the vent or chimney. Connectors shall be as short and straight as possible and installed with a slope of not less than 1/4 inch (6 mm) rise per foot of run. Connectors shall be securely supported and joints shall be fastened with sheet metal screws or rivets. Devices that obstruct the flow of flue gases shall not be installed in a connector unless listed and labeled or approved for such installations.
18,Chapter 18 Chimneys and Vents,M1803.3.1,"M1803.3.1 <span class=""code_addition"">(803.10.4) </span>Floor, Ceiling and Wall Penetrations",3,"A chimney connector or vent connector shall not pass through any floor or ceiling. A chimney connector or vent connector shall not pass through a wall or partition unless the connector is listed and labeled for wall pass-through, or is routed through a device listed and labeled for wall pass-through and is installed in accordance with the conditions of its listing and label. Connectors for oil-fired appliances listed and labeled for Type L vents, passing through walls or partitions shall be in accordance with the following: Type L vent material for oil appliances shall be installed with not less than listed and labeled clearances to combustible material. Single-wall metal pipe shall be guarded by a ventilated metal thimble not less than 4 inches (102 mm) larger in diameter than the vent connector. A minimum 6 inches (152 mm) of clearance shall be maintained between the thimble and combustibles."
18,Chapter 18 Chimneys and Vents,M1803.3.2,M1803.3.2 Length,3,The horizontal run of an uninsulated connector to a natural draft chimney shall not exceed 75 percent of the height of the vertical portion of the chimney above the connector. The horizontal run of a listed connector to a natural draft chimney shall not exceed 100 percent of the height of the vertical portion of the chimney above the connector.
18,Chapter 18 Chimneys and Vents,M1803.3.3,M1803.3.3 Size,3,A connector shall not be smaller than the flue collar of the appliance.Exception: Where installed in accordance with the appliance manufacturer's instructions.
18,Chapter 18 Chimneys and Vents,M1803.3.4,"M1803.3.4 <span class=""code_addition"">(803.10.6) </span>Clearance",3,"Connectors shall be installed with clearance to combustibles as set forth in Table M1803.3.4 or Table M1803.3.5. Reduced clearances to combustible materials shall be in accordance with Table M1306.2 and Figure M1306.1. TABLE M1803.3.4 CHIMNEY AND VENT CONNECTOR CLEARANCES TO COMBUSTIBLE MATERIALSa TYPE OF CONNECTOR MINIMUM CLEARANCE (inches) Single-wall metal pipe connectors: Oil and solid-fuel appliances 18 Oil appliances listed for use with Type L vents 9 Type L vent piping connectors: Oil and solid-fuel appliances 9 Oil appliances listed for use with Type L vents 3b For SI: 1 inch = 25.4 mm. These minimum clearances apply to unlisted single-wall chimney and vent connectors. Reduction of required clearances is permitted as in Table M1306.2. Where listed Type L vent piping is used, the clearance shall be in accordance with the vent listing."
18,Chapter 18 Chimneys and Vents,M1803.3.5,M1803.3.5 Access,3,"The entire length of a connector shall be accessible for inspection, cleaning and replacement. TABLE M1803.3.5 (803.10.4)CHIMNEY CONNECTOR SYSTEMS AND CLEARANCES TO COMBUSTIBLE WALL MATERIALS FOR DOMESTIC HEATING APPLIANCESa, b, c, d System A(12-inch clearance) A 3.5-inch-thick brick wall shall be framed into the combustible wall. An 0.625-inch-thick fire-clay liner (ASTM C315 or equivalent)e shall be firmly cemented in the center of the brick wall maintaining a 12-inch clearance to combustibles. The clay liner shall run from the outer surface of the bricks to the inner surface of the chimney liner. System B(9-inch clearance) A labeled solid-insulated factory-built chimney section (1-inch insulation) the same inside diameter as the connector shall be utilized. Sheet steel supports cut to maintain a 9-inch clearance to combustibles shall be fastened to the wall surface and to the chimney section. Fasteners shall not penetrate the chimney flue liner. The chimney length shall be flush with the masonry chimney liner and sealed to the masonry with water-insoluble refractory cement. Chimney manufacturers' parts shall be utilized to securely fasten the chimney connector to the chimney section. System C(6-inch clearance) A steel ventilated thimble having a minimum thickness of 0.0236 inch (No. 24 gage) having two 1-inch air channels shall be installed with a steel chimney connector. Steel supports shall be cut to maintain a 6-inch clearance between the thimble and combustibles. The chimney connector and steel supports shall have a minimum thickness of 0.0236 inch (No. 24 gage). One side of the support shall be fastened to the wall on all sides. Glass-fiber insulation shall fill the 6-inch space between the thimble and the supports. System D(2-inch clearance) A labeled solid-insulated factory-built chimney section (1-inch insulation) with a diameter 2 inches larger than the chimney connector shall be installed with a steel chimney connector having a minimum thickness of 0.0236 inch (24 gage). Sheet steel supports shall be positioned to maintain a 2-inch clearance to combustibles and to hold the chimney connector to ensure that a 1-inch airspace surrounds the chimney connector through the chimney section. The steel support shall be fastened to the wall on all sides and the chimney section shall be fastened to the supports. Fasteners shall not penetrate the liner of the chimney section. For SI: 1 inch = 25.4 mm, 1.0 Btu • in/ft2 • h • °F = 0.144 W/m2 • K. Insulation material that is part of the wall pass-through system shall be noncombustible and shall have a thermal conductivity of 1.0 Btu × in/ft2 • h • °F or less. All clearances and thicknesses are minimums. Materials utilized to seal penetrations for the connector shall be noncombustible. Connectors for all systems except System B shall extend through the wall pass-through system to the inner face of the flue liner. ASTM C315."
18,Chapter 18 Chimneys and Vents,M1803.4,M1803.4 Connection to Fireplace Flue,2,Connection of appliances to chimney flues serving fireplaces shall comply with Sections M1803.4.1 through M1803.4.4.
